PartitionKey;RowKey;OrderID;CustomerID;EmployeeID;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry
Orders;10263;10263;ERNSH;9;23.7.1996 0:00;20.8.1996 0:00;31.7.1996 0:00;3;146.06;Ernst Handel;Kirchgasse 6;Graz;null;8010;Austria
Orders;10264;10264;FOLKO;6;24.7.1996 0:00;21.8.1996 0:00;23.8.1996 0:00;3;3.67;Folk och fä HB;Åkergatan 24;Bräcke;null;S-844 67;Sweden
Orders;10265;10265;BLONP;2;25.7.1996 0:00;22.8.1996 0:00;12.8.1996 0:00;1;55.28;Blondel père et fils;24, place Kléber;Strasbourg;null;67000;France
Orders;10266;10266;WARTH;3;26.7.1996 0:00;6.9.1996 0:00;31.7.1996 0:00;3;25.73;Wartian Herkku;Torikatu 38;Oulu;null;90110;Finland
Orders;10267;10267;FRANK;4;29.7.1996 0:00;26.8.1996 0:00;6.8.1996 0:00;1;208.58;Frankenversand;Berliner Platz 43;München;null;80805;Germany
Orders;10268;10268;GROSR;8;30.7.1996 0:00;27.8.1996 0:00;2.8.1996 0:00;3;66.29;GROSELLA-Restaurante;5ª Ave. Los Palos Grandes;Caracas;DF;1081;Venezuela
Orders;10269;10269;WHITC;5;31.7.1996 0:00;14.8.1996 0:00;9.8.1996 0:00;1;4.56;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA
Orders;10270;10270;WARTH;1;1.8.1996 0:00;29.8.1996 0:00;2.8.1996 0:00;1;136.54;Wartian Herkku;Torikatu 38;Oulu;null;90110;Finland
Orders;10271;10271;SPLIR;6;1.8.1996 0:00;29.8.1996 0:00;30.8.1996 0:00;2;4.54;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
Orders;10272;10272;RATTC;6;2.8.1996 0:00;30.8.1996 0:00;6.8.1996 0:00;2;98.03;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
Orders;10273;10273;QUICK;3;5.8.1996 0:00;2.9.1996 0:00;12.8.1996 0:00;3;76.07;QUICK-Stop;Taucherstraße 10;Cunewalde;null;01307;Germany
Orders;10274;10274;VINET;6;6.8.1996 0:00;3.9.1996 0:00;16.8.1996 0:00;1;6.01;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;null;51100;France
Orders;10275;10275;MAGAA;1;7.8.1996 0:00;4.9.1996 0:00;9.8.1996 0:00;1;26.93;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;null;24100;Italy
Orders;10276;10276;TORTU;8;8.8.1996 0:00;22.8.1996 0:00;14.8.1996 0:00;3;13.84;Tortuga Restaurante;Avda. Azteca 123;México D.F.;null;05033;Mexico
Orders;10277;10277;MORGK;2;9.8.1996 0:00;6.9.1996 0:00;13.8.1996 0:00;3;125.77;Morgenstern Gesundkost;Heerstr. 22;Leipzig;null;04179;Germany
Orders;10278;10278;BERGS;8;12.8.1996 0:00;9.9.1996 0:00;16.8.1996 0:00;2;92.69;Berglunds snabbköp;Berguvsvägen  8;Luleå;null;S-958 22;Sweden
Orders;10279;10279;LEHMS;8;13.8.1996 0:00;10.9.1996 0:00;16.8.1996 0:00;2;25.83;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;null;60528;Germany
Orders;10280;10280;BERGS;2;14.8.1996 0:00;11.9.1996 0:00;12.9.1996 0:00;1;8.98;Berglunds snabbköp;Berguvsvägen  8;Luleå;null;S-958 22;Sweden
Orders;10281;10281;ROMEY;4;14.8.1996 0:00;28.8.1996 0:00;21.8.1996 0:00;1;2.94;Romero y tomillo;Gran Vía, 1;Madrid;null;28001;Spain
Orders;10282;10282;ROMEY;4;15.8.1996 0:00;12.9.1996 0:00;21.8.1996 0:00;1;12.69;Romero y tomillo;Gran Vía, 1;Madrid;null;28001;Spain
Orders;10283;10283;LILAS;3;16.8.1996 0:00;13.9.1996 0:00;23.8.1996 0:00;3;84.81;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
Orders;10284;10284;LEHMS;4;19.8.1996 0:00;16.9.1996 0:00;27.8.1996 0:00;1;76.56;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;null;60528;Germany
Orders;10285;10285;QUICK;1;20.8.1996 0:00;17.9.1996 0:00;26.8.1996 0:00;2;76.83;QUICK-Stop;Taucherstraße 10;Cunewalde;null;01307;Germany
Orders;10286;10286;QUICK;8;21.8.1996 0:00;18.9.1996 0:00;30.8.1996 0:00;3;229.24;QUICK-Stop;Taucherstraße 10;Cunewalde;null;01307;Germany
Orders;10287;10287;RICAR;8;22.8.1996 0:00;19.9.1996 0:00;28.8.1996 0:00;3;12.76;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
Orders;10288;10288;REGGC;4;23.8.1996 0:00;20.9.1996 0:00;3.9.1996 0:00;1;7.45;Reggiani Caseifici;Strada Provinciale 124;Reggio Emilia;null;42100;Italy
Orders;10289;10289;BSBEV;7;26.8.1996 0:00;23.9.1996 0:00;28.8.1996 0:00;3;22.77;B's Beverages;Fauntleroy Circus;London;null;EC2 5NT;UK
Orders;10290;10290;COMMI;8;27.8.1996 0:00;24.9.1996 0:00;3.9.1996 0:00;1;79.7;Comércio Mineiro;Av. dos Lusíadas, 23;Sao Paulo;SP;05432-043;Brazil
Orders;10291;10291;QUEDE;6;27.8.1996 0:00;24.9.1996 0:00;4.9.1996 0:00;2;6.4;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
Orders;10292;10292;TRADH;1;28.8.1996 0:00;25.9.1996 0:00;2.9.1996 0:00;2;1.35;Tradiçao Hipermercados;Av. Inês de Castro, 414;Sao Paulo;SP;05634-030;Brazil
Orders;10293;10293;TORTU;1;29.8.1996 0:00;26.9.1996 0:00;11.9.1996 0:00;3;21.18;Tortuga Restaurante;Avda. Azteca 123;México D.F.;null;05033;Mexico
Orders;10294;10294;RATTC;4;30.8.1996 0:00;27.9.1996 0:00;5.9.1996 0:00;2;147.26;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
Orders;10295;10295;VINET;2;2.9.1996 0:00;30.9.1996 0:00;10.9.1996 0:00;2;1.15;Vins et alcools Chevalier;59 rue de l'Abbaye;Reims;null;51100;France
Orders;10296;10296;LILAS;6;3.9.1996 0:00;1.10.1996 0:00;11.9.1996 0:00;1;0.12;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
Orders;10297;10297;BLONP;5;4.9.1996 0:00;16.10.1996 0:00;10.9.1996 0:00;2;5.74;Blondel père et fils;24, place Kléber;Strasbourg;null;67000;France
Orders;10298;10298;HUNGO;6;5.9.1996 0:00;3.10.1996 0:00;11.9.1996 0:00;2;168.22;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;null;Ireland
Orders;10299;10299;RICAR;4;6.9.1996 0:00;4.10.1996 0:00;13.9.1996 0:00;2;29.76;Ricardo Adocicados;Av. Copacabana, 267;Rio de Janeiro;RJ;02389-890;Brazil
Orders;10300;10300;MAGAA;2;9.9.1996 0:00;7.10.1996 0:00;18.9.1996 0:00;2;17.68;Magazzini Alimentari Riuniti;Via Ludovico il Moro 22;Bergamo;null;24100;Italy
Orders;10301;10301;WANDK;8;9.9.1996 0:00;7.10.1996 0:00;17.9.1996 0:00;2;45.08;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;null;70563;Germany
Orders;10302;10302;SUPRD;4;10.9.1996 0:00;8.10.1996 0:00;9.10.1996 0:00;2;6.27;Suprêmes délices;Boulevard Tirou, 255;Charleroi;null;B-6000;Belgium
Orders;10303;10303;GODOS;7;11.9.1996 0:00;9.10.1996 0:00;18.9.1996 0:00;2;107.83;Godos Cocina Típica;C/ Romero, 33;Sevilla;null;41101;Spain
Orders;10304;10304;TORTU;1;12.9.1996 0:00;10.10.1996 0:00;17.9.1996 0:00;2;63.79;Tortuga Restaurante;Avda. Azteca 123;México D.F.;null;05033;Mexico
Orders;10305;10305;OLDWO;8;13.9.1996 0:00;11.10.1996 0:00;9.10.1996 0:00;3;257.62;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA
Orders;10306;10306;ROMEY;1;16.9.1996 0:00;14.10.1996 0:00;23.9.1996 0:00;3;7.56;Romero y tomillo;Gran Vía, 1;Madrid;null;28001;Spain
Orders;10307;10307;LONEP;2;17.9.1996 0:00;15.10.1996 0:00;25.9.1996 0:00;2;0.56;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA
Orders;10308;10308;ANATR;7;18.9.1996 0:00;16.10.1996 0:00;24.9.1996 0:00;3;1.61;Ana Trujillo Emparedados y helados;Avda. de la Constitución 2222;México D.F.;null;05021;Mexico
Orders;10309;10309;HUNGO;3;19.9.1996 0:00;17.10.1996 0:00;23.10.1996 0:00;1;47.3;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;null;Ireland
Orders;10310;10310;THEBI;8;20.9.1996 0:00;18.10.1996 0:00;27.9.1996 0:00;2;17.52;The Big Cheese;89 Jefferson Way Suite 2;Portland;OR;97201;USA
Orders;10311;10311;DUMON;1;20.9.1996 0:00;4.10.1996 0:00;26.9.1996 0:00;3;24.69;Du monde entier;67, rue des Cinquante Otages;Nantes;null;44000;France
Orders;10312;10312;WANDK;2;23.9.1996 0:00;21.10.1996 0:00;3.10.1996 0:00;2;40.26;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;null;70563;Germany
Orders;10313;10313;QUICK;2;24.9.1996 0:00;22.10.1996 0:00;4.10.1996 0:00;2;1.96;QUICK-Stop;Taucherstraße 10;Cunewalde;null;01307;Germany
Orders;10314;10314;RATTC;1;25.9.1996 0:00;23.10.1996 0:00;4.10.1996 0:00;2;74.16;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
Orders;10315;10315;ISLAT;4;26.9.1996 0:00;24.10.1996 0:00;3.10.1996 0:00;2;41.76;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK
Orders;10316;10316;RATTC;1;27.9.1996 0:00;25.10.1996 0:00;8.10.1996 0:00;3;150.15;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
Orders;10317;10317;LONEP;6;30.9.1996 0:00;28.10.1996 0:00;10.10.1996 0:00;1;12.69;Lonesome Pine Restaurant;89 Chiaroscuro Rd.;Portland;OR;97219;USA
Orders;10318;10318;ISLAT;8;1.10.1996 0:00;29.10.1996 0:00;4.10.1996 0:00;2;4.73;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK
Orders;10319;10319;TORTU;7;2.10.1996 0:00;30.10.1996 0:00;11.10.1996 0:00;3;64.5;Tortuga Restaurante;Avda. Azteca 123;México D.F.;null;05033;Mexico
Orders;10320;10320;WARTH;5;3.10.1996 0:00;17.10.1996 0:00;18.10.1996 0:00;3;34.57;Wartian Herkku;Torikatu 38;Oulu;null;90110;Finland
Orders;10321;10321;ISLAT;3;3.10.1996 0:00;31.10.1996 0:00;11.10.1996 0:00;2;3.43;Island Trading;Garden House Crowther Way;Cowes;Isle of Wight;PO31 7PJ;UK
Orders;10322;10322;PERIC;7;4.10.1996 0:00;1.11.1996 0:00;23.10.1996 0:00;3;0.4;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;null;05033;Mexico
Orders;10323;10323;KOENE;4;7.10.1996 0:00;4.11.1996 0:00;14.10.1996 0:00;1;4.88;Königlich Essen;Maubelstr. 90;Brandenburg;null;14776;Germany
Orders;10324;10324;SAVEA;9;8.10.1996 0:00;5.11.1996 0:00;10.10.1996 0:00;1;214.27;Save-a-lot Markets;187 Suffolk Ln.;Boise;ID;83720;USA
Orders;10325;10325;KOENE;1;9.10.1996 0:00;23.10.1996 0:00;14.10.1996 0:00;3;64.86;Königlich Essen;Maubelstr. 90;Brandenburg;null;14776;Germany
Orders;10326;10326;BOLID;4;10.10.1996 0:00;7.11.1996 0:00;14.10.1996 0:00;2;77.92;Bólido Comidas preparadas;C/ Araquil, 67;Madrid;null;28023;Spain
Orders;10327;10327;FOLKO;2;11.10.1996 0:00;8.11.1996 0:00;14.10.1996 0:00;1;63.36;Folk och fä HB;Åkergatan 24;Bräcke;null;S-844 67;Sweden
Orders;10328;10328;FURIB;4;14.10.1996 0:00;11.11.1996 0:00;17.10.1996 0:00;3;87.03;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;null;1675;Portugal
Orders;10329;10329;SPLIR;4;15.10.1996 0:00;26.11.1996 0:00;23.10.1996 0:00;2;191.67;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
Orders;10330;10330;LILAS;3;16.10.1996 0:00;13.11.1996 0:00;28.10.1996 0:00;1;12.75;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
Orders;10331;10331;BONAP;9;16.10.1996 0:00;27.11.1996 0:00;21.10.1996 0:00;1;10.19;Bon app';12, rue des Bouchers;Marseille;null;13008;France
Orders;10332;10332;MEREP;3;17.10.1996 0:00;28.11.1996 0:00;21.10.1996 0:00;2;52.84;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
Orders;10333;10333;WARTH;5;18.10.1996 0:00;15.11.1996 0:00;25.10.1996 0:00;3;0.59;Wartian Herkku;Torikatu 38;Oulu;null;90110;Finland
Orders;10334;10334;VICTE;8;21.10.1996 0:00;18.11.1996 0:00;28.10.1996 0:00;2;8.56;Victuailles en stock;2, rue du Commerce;Lyon;null;69004;France
Orders;10335;10335;HUNGO;7;22.10.1996 0:00;19.11.1996 0:00;24.10.1996 0:00;2;42.11;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;null;Ireland
Orders;10336;10336;PRINI;7;23.10.1996 0:00;20.11.1996 0:00;25.10.1996 0:00;2;15.51;Princesa Isabel Vinhos;Estrada da saúde n. 58;Lisboa;null;1756;Portugal
Orders;10337;10337;FRANK;4;24.10.1996 0:00;21.11.1996 0:00;29.10.1996 0:00;3;108.26;Frankenversand;Berliner Platz 43;München;null;80805;Germany
Orders;10338;10338;OLDWO;4;25.10.1996 0:00;22.11.1996 0:00;29.10.1996 0:00;3;84.21;Old World Delicatessen;2743 Bering St.;Anchorage;AK;99508;USA
Orders;10339;10339;MEREP;2;28.10.1996 0:00;25.11.1996 0:00;4.11.1996 0:00;2;15.66;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
Orders;10340;10340;BONAP;1;29.10.1996 0:00;26.11.1996 0:00;8.11.1996 0:00;3;166.31;Bon app';12, rue des Bouchers;Marseille;null;13008;France
Orders;10341;10341;SIMOB;7;29.10.1996 0:00;26.11.1996 0:00;5.11.1996 0:00;3;26.78;Simons bistro;Vinbæltet 34;Kobenhavn;null;1734;Denmark
Orders;10342;10342;FRANK;4;30.10.1996 0:00;13.11.1996 0:00;4.11.1996 0:00;2;54.83;Frankenversand;Berliner Platz 43;München;null;80805;Germany
Orders;10343;10343;LEHMS;4;31.10.1996 0:00;28.11.1996 0:00;6.11.1996 0:00;1;110.37;Lehmanns Marktstand;Magazinweg 7;Frankfurt a.M.;null;60528;Germany
Orders;10344;10344;WHITC;4;1.11.1996 0:00;29.11.1996 0:00;5.11.1996 0:00;2;23.29;White Clover Markets;1029 - 12th Ave. S.;Seattle;WA;98124;USA
Orders;10345;10345;QUICK;2;4.11.1996 0:00;2.12.1996 0:00;11.11.1996 0:00;2;249.06;QUICK-Stop;Taucherstraße 10;Cunewalde;null;01307;Germany
Orders;10346;10346;RATTC;3;5.11.1996 0:00;17.12.1996 0:00;8.11.1996 0:00;3;142.08;Rattlesnake Canyon Grocery;2817 Milton Dr.;Albuquerque;NM;87110;USA
Orders;10347;10347;FAMIA;4;6.11.1996 0:00;4.12.1996 0:00;8.11.1996 0:00;3;3.1;Familia Arquibaldo;Rua Orós, 92;Sao Paulo;SP;05442-030;Brazil
Orders;10348;10348;WANDK;4;7.11.1996 0:00;5.12.1996 0:00;15.11.1996 0:00;2;0.78;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;null;70563;Germany
Orders;10349;10349;SPLIR;7;8.11.1996 0:00;6.12.1996 0:00;15.11.1996 0:00;1;8.63;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
Orders;10350;10350;LAMAI;6;11.11.1996 0:00;9.12.1996 0:00;3.12.1996 0:00;2;64.19;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;null;31000;France
Orders;10351;10351;ERNSH;1;11.11.1996 0:00;9.12.1996 0:00;20.11.1996 0:00;1;162.33;Ernst Handel;Kirchgasse 6;Graz;null;8010;Austria
Orders;10352;10352;FURIB;3;12.11.1996 0:00;26.11.1996 0:00;18.11.1996 0:00;3;1.3;Furia Bacalhau e Frutos do Mar;Jardim das rosas n. 32;Lisboa;null;1675;Portugal
Orders;10353;10353;PICCO;7;13.11.1996 0:00;11.12.1996 0:00;25.11.1996 0:00;3;360.63;Piccolo und mehr;Geislweg 14;Salzburg;null;5020;Austria
Orders;10354;10354;PERIC;8;14.11.1996 0:00;12.12.1996 0:00;20.11.1996 0:00;3;53.8;Pericles Comidas clásicas;Calle Dr. Jorge Cash 321;México D.F.;null;05033;Mexico
Orders;10355;10355;AROUT;6;15.11.1996 0:00;13.12.1996 0:00;20.11.1996 0:00;1;41.95;Around the Horn;Brook Farm Stratford St. Mary;Colchester;Essex;CO7 6JX;UK
Orders;10356;10356;WANDK;6;18.11.1996 0:00;16.12.1996 0:00;27.11.1996 0:00;2;36.71;Die Wandernde Kuh;Adenauerallee 900;Stuttgart;null;70563;Germany
Orders;10357;10357;LILAS;1;19.11.1996 0:00;17.12.1996 0:00;2.12.1996 0:00;3;34.88;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
Orders;10358;10358;LAMAI;5;20.11.1996 0:00;18.12.1996 0:00;27.11.1996 0:00;1;19.64;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;null;31000;France
Orders;10359;10359;SEVES;5;21.11.1996 0:00;19.12.1996 0:00;26.11.1996 0:00;3;288.43;Seven Seas Imports;90 Wadhurst Rd.;London;null;OX15 4NB;UK
Orders;10360;10360;BLONP;4;22.11.1996 0:00;20.12.1996 0:00;2.12.1996 0:00;3;131.7;Blondel père et fils;24, place Kléber;Strasbourg;null;67000;France
Orders;10361;10361;QUICK;1;22.11.1996 0:00;20.12.1996 0:00;3.12.1996 0:00;2;183.17;QUICK-Stop;Taucherstraße 10;Cunewalde;null;01307;Germany
Orders;10362;10362;BONAP;3;25.11.1996 0:00;23.12.1996 0:00;28.11.1996 0:00;1;96.04;Bon app';12, rue des Bouchers;Marseille;null;13008;France
Orders;10363;10363;DRACD;4;26.11.1996 0:00;24.12.1996 0:00;4.12.1996 0:00;3;30.54;Drachenblut Delikatessen;Walserweg 21;Aachen;null;52066;Germany
Orders;10364;10364;EASTC;1;26.11.1996 0:00;7.1.1997 0:00;4.12.1996 0:00;1;71.97;Eastern Connection;35 King George;London;null;WX3 6FW;UK
Orders;10365;10365;ANTON;3;27.11.1996 0:00;25.12.1996 0:00;2.12.1996 0:00;2;22;Antonio Moreno Taquería;Mataderos  2312;México D.F.;null;05023;Mexico
Orders;10366;10366;GALED;8;28.11.1996 0:00;9.1.1997 0:00;30.12.1996 0:00;2;10.14;Galería del gastronómo;Rambla de Cataluña, 23;Barcelona;null;8022;Spain
Orders;10367;10367;VAFFE;7;28.11.1996 0:00;26.12.1996 0:00;2.12.1996 0:00;3;13.55;Vaffeljernet;Smagsloget 45;Århus;null;8200;Denmark
Orders;10368;10368;ERNSH;2;29.11.1996 0:00;27.12.1996 0:00;2.12.1996 0:00;2;101.95;Ernst Handel;Kirchgasse 6;Graz;null;8010;Austria
Orders;10369;10369;SPLIR;8;2.12.1996 0:00;30.12.1996 0:00;9.12.1996 0:00;2;195.68;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
Orders;10370;10370;CHOPS;6;3.12.1996 0:00;31.12.1996 0:00;27.12.1996 0:00;2;1.17;Chop-suey Chinese;Hauptstr. 31;Bern;null;3012;Switzerland
Orders;10371;10371;LAMAI;1;3.12.1996 0:00;31.12.1996 0:00;24.12.1996 0:00;1;0.45;La maison d'Asie;1 rue Alsace-Lorraine;Toulouse;null;31000;France
Orders;10372;10372;QUEEN;5;4.12.1996 0:00;1.1.1997 0:00;9.12.1996 0:00;2;890.78;Queen Cozinha;Alameda dos Canàrios, 891;Sao Paulo;SP;05487-020;Brazil
Orders;10373;10373;HUNGO;4;5.12.1996 0:00;2.1.1997 0:00;11.12.1996 0:00;3;124.12;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;null;Ireland
Orders;10374;10374;WOLZA;1;5.12.1996 0:00;2.1.1997 0:00;9.12.1996 0:00;3;3.94;Wolski Zajazd;ul. Filtrowa 68;Warszawa;null;01-012;Poland
Orders;10375;10375;HUNGC;3;6.12.1996 0:00;3.1.1997 0:00;9.12.1996 0:00;2;20.12;Hungry Coyote Import Store;City Center Plaza 516 Main St.;Elgin;OR;97827;USA
Orders;10376;10376;MEREP;1;9.12.1996 0:00;6.1.1997 0:00;13.12.1996 0:00;2;20.39;Mère Paillarde;43 rue St. Laurent;Montréal;Québec;H1J 1C3;Canada
Orders;10377;10377;SEVES;1;9.12.1996 0:00;6.1.1997 0:00;13.12.1996 0:00;3;22.21;Seven Seas Imports;90 Wadhurst Rd.;London;null;OX15 4NB;UK
Orders;10378;10378;FOLKO;5;10.12.1996 0:00;7.1.1997 0:00;19.12.1996 0:00;3;5.44;Folk och fä HB;Åkergatan 24;Bräcke;null;S-844 67;Sweden
Orders;10379;10379;QUEDE;2;11.12.1996 0:00;8.1.1997 0:00;13.12.1996 0:00;1;45.03;Que Delícia;Rua da Panificadora, 12;Rio de Janeiro;RJ;02389-673;Brazil
Orders;10380;10380;HUNGO;8;12.12.1996 0:00;9.1.1997 0:00;16.1.1997 0:00;3;35.03;Hungry Owl All-Night Grocers;8 Johnstown Road;Cork;Co. Cork;null;Ireland
Orders;10381;10381;LILAS;3;12.12.1996 0:00;9.1.1997 0:00;13.12.1996 0:00;3;7.99;LILA-Supermercado;Carrera 52 con Ave. Bolívar #65-98 Llano Largo;Barquisimeto;Lara;3508;Venezuela
Orders;10382;10382;ERNSH;4;13.12.1996 0:00;10.1.1997 0:00;16.12.1996 0:00;1;94.77;Ernst Handel;Kirchgasse 6;Graz;null;8010;Austria
Orders;10383;10383;AROUT;8;16.12.1996 0:00;13.1.1997 0:00;18.12.1996 0:00;3;34.24;Around the Horn;Brook Farm Stratford St. Mary;Colchester;Essex;CO7 6JX;UK
Orders;10384;10384;BERGS;3;16.12.1996 0:00;13.1.1997 0:00;20.12.1996 0:00;3;168.64;Berglunds snabbköp;Berguvsvägen  8;Luleå;null;S-958 22;Sweden
Orders;10385;10385;SPLIR;1;17.12.1996 0:00;14.1.1997 0:00;23.12.1996 0:00;2;30.96;Split Rail Beer & Ale;P.O. Box 555;Lander;WY;82520;USA
Orders;10386;10386;FAMIA;9;18.12.1996 0:00;1.1.1997 0:00;25.12.1996 0:00;3;13.99;Familia Arquibaldo;Rua Orós, 92;Sao Paulo;SP;05442-030;Brazil
Orders;10387;10387;SANTG;1;18.12.1996 0:00;15.1.1997 0:00;20.12.1996 0:00;2;93.63;Santé Gourmet;Erling Skakkes gate 78;Stavern;null;4110;Norway
Orders;10388;10388;SEVES;2;19.12.1996 0:00;16.1.1997 0:00;20.12.1996 0:00;1;34.86;Seven Seas Imports;90 Wadhurst Rd.;London;null;OX15 4NB;UK
Orders;10389;10389;BOTTM;4;20.12.1996 0:00;17.1.1997 0:00;24.12.1996 0:00;2;47.42;Bottom-Dollar Markets;23 Tsawassen Blvd.;Tsawassen;BC;T2F 8M4;Canada
Orders;10390;10390;ERNSH;6;23.12.1996 0:00;20.1.1997 0:00;26.12.1996 0:00;1;126.38;Ernst Handel;Kirchgasse 6;Graz;null;8010;Austria
Orders;10391;10391;DRACD;3;23.12.1996 0:00;20.1.1997 0:00;31.12.1996 0:00;3;5.45;Drachenblut Delikatessen;Walserweg 21;Aachen;null;52066;Germany
Orders;10392;10392;PICCO;2;24.12.1996 0:00;21.1.1997 0:00;1.1.1997 0:00;3;122.46;Piccolo und mehr;Geislweg 14;Salzburg;null;5020;Austria
